device_type,os_version_key,name,typed_value
Mac,"(14, 6)",show-peer-errors,
Mac,"(14, 6)",supports-ack-v1,
Mac,"(14, 6)",supports-animoji-v2,True
Mac,"(14, 6)",supports-askto,
Mac,"(14, 6)",supports-audio-messaging-v2,
Mac,"(14, 6)",supports-autoloopvideo-v1,
Mac,"(14, 6)",supports-avless,
Mac,"(14, 6)",supports-be-v1,
Mac,"(14, 6)",supports-beacon-sharing-v2,
Mac,"(14, 6)",supports-beacon-sharing-v3,
Mac,"(14, 6)",supports-beneficiary-invites,
Mac,"(14, 6)",supports-ca-v1,
Mac,"(14, 6)",supports-certified-delivery-v1,
Mac,"(14, 6)",supports-co,
Mac,"(14, 6)",supports-cross-platform-sharing,
Mac,"(14, 6)",supports-dq-nr,
Mac,"(14, 6)",supports-emoji-stickers,
Mac,"(14, 6)",supports-family-invite-message-bubble,
Mac,"(14, 6)",supports-findmy-plugin-messages,
Mac,"(14, 6)",supports-fm-fence-v1,
Mac,"(14, 6)",supports-fmd-v2,
Mac,"(14, 6)",supports-fsm-v1,
Mac,"(14, 6)",supports-fsm-v2,
Mac,"(14, 6)",supports-fsm-v3,
Mac,"(14, 6)",supports-gft-calls,
Mac,"(14, 6)",supports-gft-errors,
Mac,"(14, 6)",supports-gft-relay,
Mac,"(14, 6)",supports-group-photo-refresh-version,
Mac,"(14, 6)",supports-harmony,False
Mac,"(14, 6)",supports-hdr,True
Mac,"(14, 6)",supports-heif,True
Mac,"(14, 6)",supports-hi-res-vid,
Mac,"(14, 6)",supports-hk-resident,
Mac,"(14, 6)",supports-hybrid-groups-v1,
Mac,"(14, 6)",supports-ii-v1,
Mac,"(14, 6)",supports-impact-v1,
Mac,"(14, 6)",supports-incoming-fmd-v1,
Mac,"(14, 6)",supports-inline-attachments,
Mac,"(14, 6)",supports-keep-receipts,
Mac,"(14, 6)",supports-key-sharing,
Mac,"(14, 6)",supports-live-delivery,
Mac,"(14, 6)",supports-location-sharing,
Mac,"(14, 6)",supports-maps-protocol-v5,
Mac,"(14, 6)",supports-maps-routing-path-leg,
Mac,"(14, 6)",supports-maps-waypoint-route-sharing,
Mac,"(14, 6)",supports-media-v2,
Mac,"(14, 6)",supports-mirage,
Mac,"(14, 6)",supports-modern-gft,
Mac,"(14, 6)",supports-original-timestamp-v1,
Mac,"(14, 6)",supports-people-ranging-v1,
Mac,"(14, 6)",supports-people-request-messages,
Mac,"(14, 6)",supports-people-request-messages-v2,
Mac,"(14, 6)",supports-people-request-messages-v3,
Mac,"(14, 6)",supports-photos-extension-v1,
Mac,"(14, 6)",supports-photos-extension-v2,
Mac,"(14, 6)",supports-protobuf-payload-data-v2,
Mac,"(14, 6)",supports-recurring-payment-bubbles,
Mac,"(14, 6)",supports-rem,
Mac,"(14, 6)",supports-sa-v1,
Mac,"(14, 6)",supports-screen-time-v2,
Mac,"(14, 6)",supports-secure-loc-v1,
Mac,"(14, 6)",supports-self-one-to-one-invites,
Mac,"(14, 6)",supports-shared-exp,
Mac,"(14, 6)",supports-sos-alerting,
Mac,"(14, 6)",supports-st-er,
Mac,"(14, 6)",supports-st-v1,
Mac,"(14, 6)",supports-sticker-editing,
Mac,"(14, 6)",supports-update-attachments-v1,
Mac,"(14, 6)",supports-uwb,False
Mac,"(14, 6)",supports-zelkova,True
Mac,"(15, 0)",device-key-signature,
Mac,"(15, 0)",ec-version,1.0
Mac,"(15, 0)",is-c2k-equipment,False
Mac,"(15, 0)",is-green-tea,
Mac,"(15, 0)",is-web-client,
Mac,"(15, 0)",kt-version,5.0
Mac,"(15, 0)",nicknames-version,
Mac,"(15, 0)",optionally-receive-typing-indicators,
Mac,"(15, 0)",prefers-sdr,
Mac,"(15, 0)",sender-key-message-version,
Mac,"(15, 0)",show-peer-errors,
