,device_type,name,first_os_version,first_os_version_key,last_os_version,last_os_version_key
199,VisionPro,supports-people-request-messages,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
200,VisionPro,supports-people-request-messages-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
201,VisionPro,supports-people-request-messages-v3,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
202,VisionPro,supports-photos-extension-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
203,VisionPro,supports-photos-extension-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
204,VisionPro,supports-polls,26.0,"(26, 0)",26.3,"(26, 3)"
205,VisionPro,supports-protobuf-payload-data-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
206,VisionPro,supports-qta,26.0,"(26, 0)",26.3,"(26, 3)"
207,VisionPro,supports-queue-one-read-receipts,26.0,"(26, 0)",26.0,"(26, 0)"
208,VisionPro,supports-queue-one-read-receipts-v3,26.3,"(26, 3)",26.3,"(26, 3)"
209,VisionPro,supports-rbm-chatbot,26.0,"(26, 0)",26.3,"(26, 3)"
210,VisionPro,supports-recovery-contact-upsell,26.0,"(26, 0)",26.3,"(26, 3)"
211,VisionPro,supports-recurring-payment-bubbles,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
212,VisionPro,supports-region-for-apple-cash,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
213,VisionPro,supports-rem,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
214,VisionPro,supports-remote-atv-signin,2.0,"(2, 0)",26.3,"(26, 3)"
215,VisionPro,supports-restricted-guest,2.0,"(2, 0)",26.3,"(26, 3)"
216,VisionPro,supports-sa-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
217,VisionPro,supports-screen-time-v2,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
218,VisionPro,supports-secure-loc-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
219,VisionPro,supports-self-one-to-one-invites,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
220,VisionPro,supports-send-later-messages,2.0,"(2, 0)",26.3,"(26, 3)"
221,VisionPro,supports-sender-key-self-check,26.0,"(26, 0)",26.3,"(26, 3)"
222,VisionPro,supports-sender-key-v1,2.0,"(2, 0)",26.3,"(26, 3)"
223,VisionPro,supports-shared-exp,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
224,VisionPro,supports-significant-app-update,26.3,"(26, 3)",26.3,"(26, 3)"
225,VisionPro,supports-sos-alerting,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
226,VisionPro,supports-ssrc,2.0,"(2, 0)",26.3,"(26, 3)"
227,VisionPro,supports-st-er,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
228,VisionPro,supports-st-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
229,VisionPro,supports-stewie,2.0,"(2, 0)",26.3,"(26, 3)"
230,VisionPro,supports-stick-moji-backs,2.0,"(2, 0)",26.3,"(26, 3)"
231,VisionPro,supports-sticker-editing,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
232,VisionPro,supports-transcript-backgrounds,26.0,"(26, 0)",26.3,"(26, 3)"
233,VisionPro,supports-update-attachments-v1,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
234,VisionPro,supports-uriless-membership-updates,26.0,"(26, 0)",26.3,"(26, 3)"
235,VisionPro,supports-user-driven-call-activation,26.0,"(26, 0)",26.3,"(26, 3)"
236,VisionPro,supports-uwb,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
237,VisionPro,supports-zelkova,1.0.2,"(1, 0, 2)",26.3,"(26, 3)"
238,iPad,device-key-signature,16.1,"(16, 1)",26.3,"(26, 3)"
239,iPad,ec-version,13.1,"(13, 1)",26.3,"(26, 3)"
240,iPad,is-c2k-equipment,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
241,iPad,is-green-tea,15.0,"(15, 0)",26.3,"(26, 3)"
242,iPad,is-web-client,16.1,"(16, 1)",26.3,"(26, 3)"
243,iPad,kt-version,13.1,"(13, 1)",26.3,"(26, 3)"
244,iPad,nicknames-version,13.1,"(13, 1)",26.3,"(26, 3)"
245,iPad,optionally-receive-typing-indicators,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
246,iPad,prefers-sdr,14.0,"(14, 0)",26.3,"(26, 3)"
247,iPad,sender-key-message-version,18.0,"(18, 0)",26.3,"(26, 3)"
248,iPad,show-peer-errors,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
249,iPad,supports-ack-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
250,iPad,supports-activity-sharing-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
251,iPad,supports-adaptive-temperature-automations,26.0,"(26, 0)",26.3,"(26, 3)"
252,iPad,supports-animoji-v2,13.1,"(13, 1)",26.3,"(26, 3)"
253,iPad,supports-aot,26.0,"(26, 0)",26.3,"(26, 3)"
254,iPad,supports-askto,17.0,"(17, 0)",26.3,"(26, 3)"
255,iPad,supports-askto-responseUI,26.2,"(26, 2)",26.3,"(26, 3)"
256,iPad,supports-askto-v2,26.0,"(26, 0)",26.3,"(26, 3)"
257,iPad,supports-audio-messaging-v2,13.1,"(13, 1)",26.3,"(26, 3)"
258,iPad,supports-autoloopvideo-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
259,iPad,supports-avless,16.1,"(16, 1)",26.3,"(26, 3)"
260,iPad,supports-be-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
261,iPad,supports-beacon-sharing-v2,15.0,"(15, 0)",26.3,"(26, 3)"
262,iPad,supports-beacon-sharing-v3,17.0,"(17, 0)",26.3,"(26, 3)"
263,iPad,supports-beneficiary-invites,16.1,"(16, 1)",26.3,"(26, 3)"
264,iPad,supports-ca-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
265,iPad,supports-calls-25,26.0,"(26, 0)",26.3,"(26, 3)"
266,iPad,supports-certified-delivery-v1,13.1,"(13, 1)",26.3,"(26, 3)"
267,iPad,supports-ckv-enforcement,26.0,"(26, 0)",26.3,"(26, 3)"
268,iPad,supports-co,15.0,"(15, 0)",26.3,"(26, 3)"
269,iPad,supports-cross-platform-sharing,16.1,"(16, 1)",26.3,"(26, 3)"
270,iPad,supports-dq-nr,15.0,"(15, 0)",26.3,"(26, 3)"
271,iPad,supports-emoji-images,18.0,"(18, 0)",26.3,"(26, 3)"
272,iPad,supports-emoji-stickers,17.0,"(17, 0)",26.3,"(26, 3)"
273,iPad,supports-emoji-tapbacks,18.0,"(18, 0)",26.3,"(26, 3)"
274,iPad,supports-family-invite-message-bubble,16.1,"(16, 1)",26.3,"(26, 3)"
275,iPad,supports-findmy-plugin-messages,17.0,"(17, 0)",26.3,"(26, 3)"
276,iPad,supports-fm-fence-v1,14.0,"(14, 0)",26.3,"(26, 3)"
277,iPad,supports-fmd-v2,14.0,"(14, 0)",26.3,"(26, 3)"
278,iPad,supports-fsm-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
279,iPad,supports-fsm-v2,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
280,iPad,supports-fsm-v3,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
281,iPad,supports-gft-calls,15.0,"(15, 0)",26.3,"(26, 3)"
282,iPad,supports-gft-errors,15.0,"(15, 0)",26.3,"(26, 3)"
283,iPad,supports-gft-relay,17.0,"(17, 0)",26.3,"(26, 3)"
284,iPad,supports-group-apple-cash,26.0,"(26, 0)",26.3,"(26, 3)"
285,iPad,supports-group-photo-refresh-version,17.4,"(17, 4)",26.3,"(26, 3)"
286,iPad,supports-gti,26.0,"(26, 0)",26.3,"(26, 3)"
287,iPad,supports-harmony,14.0,"(14, 0)",26.3,"(26, 3)"
288,iPad,supports-hdr,14.0,"(14, 0)",26.3,"(26, 3)"
289,iPad,supports-heif,14.0,"(14, 0)",26.3,"(26, 3)"
290,iPad,supports-hi-res-vid,17.0,"(17, 0)",26.3,"(26, 3)"
291,iPad,supports-high-quality-photo-file-sizes,18.0,"(18, 0)",26.3,"(26, 3)"
292,iPad,supports-hk-resident,15.0,"(15, 0)",26.3,"(26, 3)"
293,iPad,supports-hybrid-groups-v1,17.0,"(17, 0)",26.3,"(26, 3)"
294,iPad,supports-ii-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
295,iPad,supports-impact-v1,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
296,iPad,supports-incoming-fmd-v1,13.1,"(13, 1)",26.3,"(26, 3)"
297,iPad,supports-inline-attachments,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
298,iPad,supports-introductions-v1,26.0,"(26, 0)",26.3,"(26, 3)"
299,iPad,supports-keep-receipts,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
300,iPad,supports-key-sharing,14.0,"(14, 0)",26.3,"(26, 3)"
301,iPad,supports-legacy-contact-invites-v1,18.4,"(18, 4)",26.3,"(26, 3)"
302,iPad,supports-legacy-contact-invites-v2,26.0,"(26, 0)",26.3,"(26, 3)"
303,iPad,supports-legacy-contact-invites-v3,26.0,"(26, 0)",26.3,"(26, 3)"
304,iPad,supports-live-delivery,13.1,"(13, 1)",26.3,"(26, 3)"
305,iPad,supports-live-translation,26.0,"(26, 0)",26.3,"(26, 3)"
306,iPad,supports-location-sharing,11.0.1,"(11, 0, 1)",26.3,"(26, 3)"
307,iPad,supports-lqm-hq,26.0,"(26, 0)",26.3,"(26, 3)"
308,iPad,supports-manatee-activity-sharing,18.0,"(18, 0)",26.3,"(26, 3)"
